time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T04:31:23.899Z,36.3649,36.4413,10,4.4,mb,38,116,1.015,0.48,us,us6000jnsd,2023-04-15T21:40:01.040Z,"2 km NE of Uzunkavak, Turkey",earthquake,5.23,1.939,0.107,25,reviewed,us,us
2023-02-06T04:39:47.868Z,37.7907,37.4444,17.034,4.3,mb,51,96,0.645,0.54,us,us6000jlnq,2023-04-15T21:39:35.040Z,"14 km ENE of Ça?layancerit, Turkey",earthquake,4.39,4.707,0.097,30,reviewed,us,us
2023-02-06T04:47:57.170Z,36.7176,36.4733,10,4.5,mb,75,89,0.744,0.62,us,us6000jlns,2023-04-15T21:39:35.040Z,"9 km SSW of Hassa, Turkey",earthquake,4.91,1.825,0.085,40,reviewed,us,us
2023-02-06T04:56:05.491Z,37.4609,37.1603,16.174,4.5,mb,84,69,0.291,0.64,us,us6000jlnu,2023-04-15T21:39:35.040Z,"12 km WSW of Pazarc?k, Turkey",earthquake,6.53,4.698,0.074,53,reviewed,us,us
2023-02-06T05:01:50.591Z,37.7898,37.8568,16.551,4.6,mb,98,55,0.803,0.55,us,us6000jlnv,2023-04-15T21:39:35.040Z,"5 km W of Tut, Turkey",earthquake,5.41,3.182,0.068,64,reviewed,us,us
2023-02-06T05:04:31.901Z,37.3768,37.0793,11.165,4.2,mb,19,136,0.229,0.5,us,us6000jnvb,2023-04-15T21:40:04.040Z,"23 km WSW of Pazarc?k, Turkey",earthquake,8.89,7.385,0.176,9,reviewed,us,us
2023-02-06T05:12:52.692Z,37.4966,37.1888,5.336,4.4,mb,29,85,0.324,1.11,us,us6000jnrx,2023-04-15T21:40:00.040Z,"9 km W of Pazarc?k, Turkey",earthquake,2.52,5.123,0.162,11,reviewed,us,us
2023-02-06T05:16:55.953Z,37.7999,37.7821,10,4.1,mb,38,103,0.775,0.65,us,us6000jnrv,2023-04-15T21:40:00.040Z,"11 km W of Tut, Turkey",earthquake,3.07,1.933,0.175,9,reviewed,us,us
2023-02-06T05:19:48.566Z,38.0197,38.3054,10,4.1,mb,25,81,0.708,0.51,us,us6000jnrw,2023-04-15T21:40:00.040Z,"6 km E of Çelikhan, Turkey",earthquake,3.59,1.904,0.235,5,reviewed,us,us
2023-02-06T05:22:44.551Z,37.3082,37.7106,10,4.4,mb,37,119,1.12,0.46,us,us6000jlnx,2023-04-15T21:39:35.040Z,"12 km E of Yavuzeli, Turkey",earthquake,8.69,1.914,0.102,28,reviewed,us,us
2023-02-06T05:31:22.169Z,38.0053,38.042,10,4.4,mb,42,93,1.063,0.62,us,us6000jlnz,2023-04-15T21:39:35.040Z,"17 km W of Çelikhan, Turkey",earthquake,3.57,1.898,0.117,21,reviewed,us,us
2023-02-06T05:33:10.998Z,38.0957,38.2361,15.345,4.6,mb,73,97,0.801,0.65,us,us6000jns2,2023-04-15T21:40:00.040Z,"7 km N of Çelikhan, Turkey",earthquake,4.59,4.503,0.084,42,reviewed,us,us
2023-02-06T05:35:21.339Z,36.4188,36.2183,10,4.4,mb,59,130,1.095,0.54,us,us6000jns0,2023-04-15T21:40:00.040Z,"6 km N of Serinyol, Turkey",earthquake,4.45,1.839,0.086,41,reviewed,us,us
2023-02-06T05:36:33.636Z,36.2975,36.2085,13.032,4.6,mb,93,54,1.187,0.79,us,us6000jlp0,2023-04-15T21:39:35.040Z,"1 km N of Büyük Dalyan, Turkey",earthquake,5.33,4.53,0.067,66,reviewed,us,us
2023-02-06T05:40:38.044Z,37.9116,38.2366,19.278,4.5,mb,57,75,0.66,0.47,us,us6000jnss,2023-04-15T21:40:01.040Z,"12 km S of Çelikhan, Turkey",earthquake,4.44,1.492,0.096,34,reviewed,us,us
2023-02-06T05:43:49.888Z,36.2606,36.2043,10,4.6,mb,73,57,1.217,0.69,us,us6000jns1,2023-04-15T21:40:00.040Z,"3 km S of Büyük Dalyan, Turkey",earthquake,2.78,1.869,0.09,37,reviewed,us,us
2023-02-06T05:44:55.583Z,36.3265,36.4042,10,4.4,mb,37,117,1.063,0.65,us,us6000jnvf,2023-04-15T21:40:04.040Z,"Turkey-Syria border region",earthquake,4.94,1.822,0.155,12,reviewed,us,us
2023-02-06T05:55:49.697Z,37.9201,38.4457,10,4.5,mb,75,93,1.671,0.35,us,us6000jlp1,2023-04-15T21:39:35.040Z,"19 km SW of Sincik, Turkey",earthquake,2.15,1.87,0.073,55,reviewed,us,us
2023-02-06T06:14:38.909Z,37.4072,36.9513,10,4.3,mb,31,135,0.312,0.37,us,us6000jns3,2023-04-15T21:40:00.040Z,"19 km S of Kahramanmara?, Turkey",earthquake,1.69,1.927,0.177,9,reviewed,us,us
2023-02-06T06:18:02.484Z,38.1199,38.3761,10,4.4,mb,23,84,0.764,0.6,us,us6000jns4,2023-04-15T21:40:00.040Z,"16 km NE of Çelikhan, Turkey",earthquake,5.21,1.965,0.269,4,reviewed,us,us
2023-02-06T06:26:28.168Z,37.3961,37.1506,10,4.6,mb,71,107,0.229,0.45,us,us6000jlsg,2023-04-15T21:39:38.040Z,"16 km SW of Pazarc?k, Turkey",earthquake,5.02,1.902,0.081,45,reviewed,us,us
2023-02-06T06:27:52.742Z,38.0564,38.2173,10,4.5,mb,26,80,0.779,0.62,us,us6000jnwh,2023-04-15T21:40:05.040Z,"3 km NNW of Çelikhan, Turkey",earthquake,4.05,1.587,0.241,5,reviewed,us,us
2023-02-06T06:54:57.430Z,37.6427,37.394,10,4.8,mwr,105,56,0.492,0.54,us,us6000jlp9,2023-04-15T21:39:35.040Z,"14 km SE of Ça?layancerit, Turkey",earthquake,5.42,1.797,0.063,24,reviewed,us,us
2023-02-06T06:59:05.328Z,37.47,37.0824,19.154,4.2,mb,46,113,0.314,0.65,us,us6000jns8,2023-04-15T21:40:01.040Z,"18 km SE of Kahramanmara?, Turkey",earthquake,4.26,4.391,0.121,19,reviewed,us,us
2023-02-06T07:08:32.392Z,36.7139,36.4459,11.457,4.5,mb,107,82,0.764,0.6,us,us6000jlpb,2023-04-15T21:39:35.040Z,"11 km SW of Hassa, Turkey",earthquake,3.61,4.291,0.076,51,reviewed,us,us
